passenger_id,birthdate,sex,street,city,zip,country,emailaddress,telephoneno
4,1930-01-12,m,Andechsstraße 45,Bad Wimsbach-Neydharting,4654,Ethiopia,Michael.Browne@airtelkol.com,03022 807190
5,1930-01-03,w,Archenweg 82,Behamberg,4441,Korea,Mara.Corday@cvcpaging.com,01335 64343532
6,1930-01-07,m,Bichlweg 77,Bad Blumau,8283,Korea,Jack.Greene@my2way.com,08165 15262423
7,1930-01-30,m,Bleichenweg 38,Buch-Geiseldorf,8272,Denmark,Alfred.Herrhausen@bplmobile.com,03133 10894292
8,1930-01-25,m,Domanigweg 59,Buch-Geiseldorf,8274,United States,Dean.Jones@page.metrocall.com,06046 69629766
9,1930-01-07,m,Etrichgasse 80,Dienten am Hochkönig,5652,Denmark,Elliott.Kastner@page.hit.net,06676 24916958
10,1930-01-12,m,Gerhart-Hauptmann-Straße 26,Dietmanns,3813,Denmark,Bruce.Lansbury@cwemail.com,02430 46754335
11,1930-01-12,m,Geyrstraße 90,Dorfstetten,4392,Greenland,Edgar.Lansbury@archwireless.net,06086 64079779
12,1930-01-02,m,Grabenweg 74,Gratkorn,8046,Finland,Julius.LaRosa@tmomail.net,03779 96726822
13,1930-01-20,m,Grenzstraße 0,Gratkorn,8101,Ethiopia,Blair.Lent@ivccom,07025 61091635
14,1930-01-03,m,Griesauweg 77,Gratkorn,8102,Congo,Robert.Loggia@att.net,09469 90199699
15,1930-01-04,m,Josef-Pöll-Straße 88,Gratkorn,8114,Iran,Don.Shula@onlinebeep.net,06691 63969597
16,1930-01-11,m,Kirchmayrgasse 8,Graz,8010,Brazil,Rod.Taylor@tmomail.net,01910 3625093
17,1930-01-14,m,Kirchsteig 75,Graz,8020,Russia,Kenny.Wheeler@gte.pagegate.net,06080 93150422
18,1930-01-12,m,Kranewitterstraße 54,Graz,8036,Brazil,Glenn.Yarborough@page.propage.net,08333 37232217
19,1930-02-19,m,Langer Weg 44,Graz,8041,Mexico,John.Frankenheimer@corrwireless.net,03615 69058361
20,1930-02-10,w,Lönsstraße 61,Graz,8042,United States,bXNULQLOKFzSoueph@pager.qualcomm.com,03683 77018929
21,1930-02-02,m,Luigenstraße 71,Graz,8043,United States,Charles.Newton@email.uscc.net,07457 41834438
22,1930-02-10,m,Mößlgasse 72,Graz,8044,France,Robert.Wagner@page.metrocall.com,08543 1683990
23,1930-02-18,m,Mosengasse 47,Graz,8045,Ireland,Gahan.Wilson@mmode.com,05210 55485903
24,1930-02-27,w,Nordkettenstraße 19,Graz,8046,Canada,Joanne.Woodward@airtelkol.com,02110 39076274
25,1930-03-13,w,Pfaffensteig 54,Graz,8047,Yemen,Liz.Anderson@t-mobile.uk.net,03206 43076108
26,1930-03-30,m,Philippine-Welser-Straße 14,Graz,8051,Indonesia,John.Astin@paging.acswireless.com,01919 66759618
27,1930-03-22,m,Reichenauer Straße 10,Graz,8052,Chad,Derek.Bok@pcom.ru,07620 80747801
28,1930-03-21,m,Roßaugasse 6,Graz,8053,Cuba,James.Coco@wyndtell.com,07512 33371682
29,1930-03-26,w,Schloßstraße 3,Graz,8054,Ivory Coast,XhpZYjTOepHoZrgRn@smsmail.lmt.lv,04148 7331785
30,1930-03-30,m,Siegmairstraße 98,Graz,8055,United States,Rolf.Harris@ideacellular.net,01219 38958812
31,1930-03-14,m,Stadlweg 80,Graz,8073,United States,Don.Haskins@page.mobilfone.com,05822 74231398
32,1930-03-13,w,Trientlgasse 8,Graz,8074,United States,Jan.Howard@swmsg.com,09649 59767285
33,1930-03-06,m,Tummelplatzweg 0,Grundlsee,8993,United States,Lorin.Maazel@page.southernlinc.com,0935 67495865
34,1930-03-30,m,Valiergasse 76,Heiligenblut,9844,United Kingdom,Peter.Marshall@onlinebeep.net,0940 44515901
35,1930-03-24,m,Vintlergasse 79,Hippach,6283,Saudi Arabia,Steve.McQueen@blsdcs.net,09437 38339364
36,1930-03-07,m,Wallpachgasse 70,Hirschegg,8584,United States,Lord.Snowdon@satellink.net,0856 27804849
37,1930-03-22,m,Wiesengasse 11,Kitzeck im Sausal,8441,United States,Stephen.Sondheim@movistar.net,01333 83237875
38,1930-04-10,m,Winkelfeldsteig 48,Kitzeck im Sausal,8442,United States,Claude.Bolling@messaging.sprintpcs.com,07619 31276012
39,1930-04-24,m,Wolkensteingasse 8,Kitzeck im Sausal,8451,Ivory Coast,Richard.Donner@t.vodafone.ne.jp,02778 45103384
40,1930-04-17,m,Bernhard-Höfel-Straße 95,Klagenfurt,9020,Cameroon,"Alexander_Graves,.II@pageme.comspeco.net",04215 75480228
41,1930-04-25,w,Josef-Mayr-Nusser-Weg 53,Klagenfurt,9061,Chad,Lynn.Hamilton@o2.co.uk,05092 28193903
42,1930-04-16,m,Eduard-Bodem-Gasse 81,Klagenfurt,9063,Saudi Arabia,Herbie.Mann@scs-900.ru,08818 56362138
